id,Date,Open,Close,High,Low,Shares_Traded,Turnover,created_at,created_by,updated_at,updated_by,status
142,2019-04-12,11612.85,11657.35,11578.8,11643.45,246006184,13598.61,,,,,
143,2019-04-15,11667,11704.6,11648.25,11690.35,289996075,15635.79,,,,,
144,2019-04-16,11736.2,11810.95,11731.55,11787.15,354315040,17585.48,,,,,
145,2019-04-18,11856.15,11856.15,11738.5,11752.8,339653709,18271.27,,,,,
146,2019-04-22,11727.05,11727.05,11583.95,11594.45,260356055,13754.12,,,,,
147,2019-04-23,11612.95,11645.95,11564.8,11575.95,272544486,14500.53,,,,,
148,2019-04-24,11601.5,11740.85,11578.85,11726.15,335196513,17046.66,,,,,
149,2019-04-25,11735.7,11796.75,11624.3,11641.8,604360395,28254.3,,,,,
150,2019-04-26,11683.75,11762.9,11661.75,11754.65,333483764,18098.83,,,,,
151,2019-04-30,11748.75,11756.25,11655.9,11748.15,532630874,23324.98,,,,,
152,2019-05-02,11725.55,11789.3,11699.55,11724.75,380278045,17790.06,,,,,
153,2019-05-03,11722.6,11770.9,11699.35,11712.25,305519934,15156.32,,,,,
154,2019-05-06,11605.8,11632.55,11571.35,11598.25,299046480,14703.42,,,,,
155,2019-05-07,11651.5,11657.05,11484.45,11497.9,337495624,16632.84,,,,,
156,2019-05-08,11478.7,11479.1,11346.95,11359.45,372826025,17440.01,,,,,
157,2019-05-09,11322.4,11357.6,11255.05,11301.8,373028059,17602.86,,,,,
158,2019-05-10,11314.15,11345.8,11251.05,11278.9,387323416,18085.19,,,,,
159,2019-05-13,11258.7,11300.2,11125.6,11148.2,357586433,16722.91,,,,,
160,2019-05-14,11151.65,11294.75,11108.3,11222.05,398122725,19906.38,,,,,
161,2019-05-15,11271.7,11286.8,11136.95,11157,414174258,17931.75,,,,,
162,2019-05-16,11180.35,11281.55,11143.35,11257.1,350734572,15629.57,,,,,
163,2019-05-17,11261.9,11426.15,11259.85,11407.15,412109200,20177.63,,,,,
164,2019-05-20,11651.9,11845.2,11591.7,11828.25,452096261,25223.78,,,,,
165,2019-05-21,11863.65,11883.55,11682.8,11709.1,381038129,20324.67,,,,,
166,2019-05-22,11727.95,11784.8,11682.4,11737.9,355870667,19582.41,,,,,
167,2019-05-23,11901.3,12041.15,11614.5,11657.05,569030654,31180.08,,,,,
168,2019-05-24,11748,11859,11658.1,11844.1,374637415,20028.49,,,,,
169,2019-05-27,11855.5,11957.15,11812.4,11924.75,348356214,17735.36,,,,,
170,2019-05-28,11958.35,11958.55,11864.9,11928.75,598308334,28833.54,,,,,
171,2019-05-29,11905.8,11931.9,11836.8,11861.1,318068673,15985.92,,,,,
172,2019-05-30,11865.3,11968.55,11859.4,11945.9,421199867,20261.85,,,,,
173,2019-05-31,11999.8,12039.25,11829.45,11922.8,438879129,22789,,,,,
174,2019-06-03,11953.75,12103.05,11920.1,12088.55,315296955,17451.36,,,,,
175,2019-06-04,12052.65,12095.2,12005.85,12021.65,289221904,15308.28,,,,,
176,2019-06-06,12039.8,12039.8,11830.25,11843.75,415206942,21144.77,,,,,
177,2019-06-07,11865.2,11897.5,11769.5,11870.65,302455910,14939.4,,,,,
178,2019-06-10,11934.9,11975.05,11871.75,11922.7,303329445,13125.41,,,,,
179,2019-06-11,11959.85,12000.35,11904.35,11965.6,332181958,15392.28,,,,,
180,2019-06-12,11962.45,11962.45,11866.35,11906.2,283718253,14120.17,,,,,
181,2019-06-13,11873.9,11931.35,11817.05,11914.05,447901993,18680.91,,,,,
182,2019-06-14,11910.1,11911.85,11797.7,11823.3,390294634,16226.57,,,,,
183,2019-06-17,11844,11844.05,11657.75,11672.15,295528399,13851.67,,,,,
184,2019-06-18,11677.05,11727.2,11641.15,11691.5,365525622,16120.69,,,,,
185,2019-06-19,11744.45,11802.5,11625.1,11691.45,446933027,18722.71,,,,,
186,2019-06-20,11653.65,11843.5,11635.05,11831.75,442016954,18839.11,,,,,
187,2019-06-21,11827.6,11827.95,11705.1,11724.1,468430388,23346.13,,,,,
188,2019-06-24,11725.8,11754,11670.2,11699.65,277620788,12631.38,,,,,
189,2019-06-25,11681,11814.4,11651,11796.45,300476353,13822.83,,,,,
190,2019-06-26,11768.15,11871.85,11757.55,11847.55,327885018,14650.89,,,,,
191,2019-06-27,11860.85,11911.15,11821.05,11841.55,480169350,23300.3,,,,,
192,2019-06-28,11861.15,11871.7,11775.5,11788.85,303888701,15191.9,,,,,
193,2019-07-01,11839.9,11884.65,11830.8,11865.6,278415889,12874.96,,,,,
194,2019-07-02,11890.3,11917.45,11814.7,11910.3,363197036,13615.94,,,,,
195,2019-07-03,11932.15,11945.2,11887.05,11916.75,340527508,14290.33,,,,,
196,2019-07-04,11928.8,11969.25,11923.65,11946.75,333595172,14758.87,,,,,
197,2019-07-05,11964.75,11981.75,11797.9,11811.15,530720039,18871.99,,,,,
198,2019-07-08,11770.4,11771.9,11523.3,11558.6,464029444,19146.25,,,,,
199,2019-07-09,11531.6,11582.55,11461,11555.9,442520253,21577.95,,,,,
200,2019-07-10,11536.15,11593.7,11475.65,11498.9,337571014,16098.53,,,,,
201,2019-07-11,11561.45,11599,11519.5,11582.9,317257578,14586.2,,,,,
202,2019-07-12,11601.15,11639.55,11538.6,11552.5,359421182,16947.57,,,,,
203,2019-07-15,11614.75,11618.4,11532.3,11588.35,368788782,15835.99,,,,,
204,2019-07-16,11596.65,11670.05,11573.95,11662.6,480156167,15967.91,,,,,
205,2019-07-17,11670.75,11706.65,11651.15,11687.5,464827734,15250.5,,,,,
206,2019-07-18,11675.6,11677.15,11582.4,11596.9,498258158,16684.03,,,,,
